Row ID,Industry,Company,Name,Project Type,Project_Status,Technology,Key Tech,Key Values,Location,Region,Year,More
26.0,CONSULTING,Accenture,Digital Disaster Prevention System Aizuwakamatsu+,PRODUCT,Completed,GIS,Analytics & Visualization,Decision Making,Japan,Other,2019,
27.0,CONSULTING,Accenture,Amsterdam Smart City,URBAN DESIGN,Completed,Hardware sensing,Analytics & Visualization,Sustainability,Netherlands,Other,2009,
27.0,CONSULTING,Accenture,Amsterdam Smart City,URBAN DESIGN,Completed,Data Analytics,Analytics & Visualization,Sustainability,Netherlands,Other,2009,
27.0,CONSULTING,Accenture,Amsterdam Smart City,URBAN DESIGN,Completed,Automation,Analytics & Visualization,Sustainability,Netherlands,Other,2009,
27.0,CONSULTING,Accenture,Amsterdam Smart City,URBAN DESIGN,Completed,Robotics,Analytics & Visualization,Sustainability,Netherlands,Other,2009,
28.0,CONSULTING,Accenture,Singapore's Future of City's Innovation Hub,INITIATIVE,Ongoing,Data Analytics,Analytics & Visualization,Decision Making,Singapore,Other,ongoing,2021
28.0,CONSULTING,Accenture,Singapore's Future of City's Innovation Hub,INITIATIVE,Ongoing,Advanced analytics,Analytics & Visualization,Decision Making,Singapore,Other,ongoing,2021
28.0,CONSULTING,Accenture,Singapore's Future of City's Innovation Hub,INITIATIVE,Ongoing,AI,Analytics & Visualization,Decision Making,Singapore,Other,ongoing,2021
28.0,CONSULTING,Accenture,Singapore's Future of City's Innovation Hub,INITIATIVE,Ongoing,Digital Twins,Analytics & Visualization,Decision Making,Singapore,Other,ongoing,2021
29.0,CONSULTING,BCG,BCG Digital Ventures (BCG X),INITIATIVE,Ongoing,Data Analytics,Analytics & Visualization,Decision Making,nil,Other,ongoing,2014
29.0,CONSULTING,BCG,BCG Digital Ventures (BCG X),INITIATIVE,Ongoing,Software Tech,Analytics & Visualization,Decision Making,nil,Other,ongoing,2014
29.0,CONSULTING,BCG,BCG Digital Ventures (BCG X),INITIATIVE,Ongoing,DevOps,Analytics & Visualization,Decision Making,nil,Other,ongoing,2014
30.0,CONSULTING,BCG,BCG Henderson Institute,INITIATIVE,Ongoing,AI,Analytics & Visualization,Decision Making,nil,Other,ongoing,2015
30.0,CONSULTING,BCG,BCG Henderson Institute,INITIATIVE,Ongoing,Deep Tech,Analytics & Visualization,Decision Making,nil,Other,ongoing,2015
